-14500	516	4952	-1053	-198	-178
-14616	396	5088	-927	-28	-355
-14712	776	5092	-1230	-257	-395
-14676	360	5056	-1677	-293	-433
-14260	168	4956	-1661	-338	-644
-14412	120	5120	-1435	-67	-768
-14812	344	5204	-1512	26	-688
-14628	136	5044	-1725	-123	-649
-14540	-128	4992	-1566	105	-757
-14728	-96	4988	-1092	245	-881
-14820	168	5056	-1185	153	-866
-14640	-64	4884	-1231	245	-845
-14820	-80	5024	-1084	539	-899
-14976	-8	4972	-1031	544	-910
-14952	-120	5144	-903	455	-797
-14836	-128	4928	-887	480	-795
-15144	-28	4972	-790	672	-772
-15268	-32	5088	-864	367	-696
-14980	-144	5088	-900	276	-566
-15280	-92	5124	-829	397	-566
-15208	-40	4960	-929	169	-583
-15012	-252	4964	-962	139	-493
-14816	-172	4868	-798	87	-574
-15188	-264	4972	-862	170	-563
-14984	-192	4784	-993	-188	-488
-14856	-236	4776	-1188	-68	-382
-14756	-240	4868	-1506	-106	-253
-14452	-540	4640	-1515	199	-97
-14832	-524	4660	-1297	508	49
-15016	-464	4900	-1318	357	266
-14528	-532	4440	-1714	501	361
-14640	-876	4540	-1447	898	320
-14940	-680	4800	-1226	825	415
-14672	-624	4528	-1194	824	379
-14436	-1048	4520	-1010	1154	374
-14836	-856	4556	-489	1286	418
-15092	-624	4804	-534	1131	605
-15256	-684	4696	-567	1229	650
-15680	-536	4528	-544	993	768
-15332	-688	4428	-1102	383	605
-15328	-1032	4324	-964	727	395
-15724	-584	4620	-743	344	127
-15220	-620	4208	-1133	120	60
-14896	-968	4316	-1203	504	-112
-15376	-800	4628	-740	636	-239
-15252	-728	4532	-828	444	-82
-15328	-980	4512	-880	400	-11
-15116	-860	4556	-599	238	-54
-14952	-848	4388	-623	21	-145
-15148	-772	4336	-372	163	-368
-15620	-580	4512	-356	-149	-440
-15252	-560	4448	-735	-392	-415
-14856	-964	4272	-532	-287	-536
-14712	-796	4540	-121	-241	-610
-14592	-740	4292	-221	-121	-500
-14652	-964	3948	-224	115	-380
-14680	-912	4380	295	196	-206
-14804	-888	4340	494	421	50
-15016	-972	4264	460	550	190
-15312	-1008	4392	680	505	171
-15516	-1012	4540	899	418	32
-15568	-740	4360	923	127	-171
-15312	-568	4372	435	-207	-396
-14800	-808	4192	78	-335	-618
-14860	-900	4076	120	-279	-743
-14976	-820	4292	151	-268	-701
-14996	-712	4180	-105	-226	-557
-15184	-920	4272	-318	-100	-358
-15124	-1116	4224	-298	-107	-255
-15128	-1152	4204	69	98	-334
-15396	-808	4136	158	-49	-441
-15216	-880	4208	72	-188	-578
-15184	-884	4076	113	-234	-730
-15192	-696	4204	10	-436	-788
-14768	-712	4332	-271	-619	-768
-14816	-656	4040	-424	-322	-769
-15188	-476	4436	-612	-356	-546
-14920	-588	4148	-1135	-382	-270
-14928	-960	3972	-1186	-139	-120
-15236	-872	4264	-846	72	22
-15112	-588	4432	-898	-73	204
-15004	-816	4128	-1134	111	280
-15116	-940	4404	-926	44	192
-14928	-768	4388	-912	-16	206
-14944	-780	4276	-1101	58	249
-14960	-780	4236	-1202	71	314
-14768	-892	4372	-1263	81	494
-14684	-1116	4132	-1253	295	661
-14952	-880	4128	-1232	423	776
-15144	-1236	4316	-1359	470	840
-15092	-1140	4452	-1317	589	853
-15096	-1056	4148	-1102	703	701
-15336	-1116	4468	-1037	621	569
-14936	-1044	4428	-1033	445	472
-14844	-1192	4420	-1059	517	347
-14712	-1112	4288	-837	333	130
